"count","genus","species","subspecies"
1,"Kurthia","gibsonii",""
1,"Mycolicibacterium","hassiacum",""
1,"Microbacterium","agarici",""
1,"Effusibacillus","pohliae",""
1,"Orrella","dioscoreae",""
1,"Streptococcus","constellatus","viborgensis"
1,"Bacillus","proteolyticus",""
1,"Flavobacterium","akiainvivens",""
1,"Elizabethkingia","endophytica",""
1,"Paraburkholderia","caribensis",""
1,"Nonomuraea","roseola",""
1,"Paenibacillus","terrigena",""
2,"Staphylococcus","gallinarum",""
1,"Sphingomonas","yanoikuyae",""
1,"Enterococcus","sulfureus",""
1,"Acinetobacter","bouvetii",""
1,"Rummeliibacillus","pycnus",""
2,"Bacillus","maroccanus",""
7,"Actinobacillus","capsulatus",""
1,"Desulfovibrio","capillatus",""
1,"Pseudomonas","syncyanea",""
1,"Mycolicibacterium","tokaiense",""
1,"Streptosporangium","sandarakinum",""
33,"Pasteurella","multocida","multocida"
1,"Polaribacter","irgensii",""
1,"Amycolatopsis","lexingtonensis",""
1,"Rarobacter","faecitabidus",""
13,"Levilactobacillus","brevis",""
1,"Corynebacterium","auris",""
1,"Mitsuaria","chitosanitabida",""
1,"Actinobaculum","lemanensis",""
1,"Neisseria","macacae",""
1,"Flavobacterium","jumunjinense",""
1,"Tsukamurella","strandjordii",""
1,"Nocardia","shimofusensis",""
1,"Halorubrum","distributum",""
1,"Flavobacterium","rakeshii",""
2,"Corynebacterium","confusum",""
1,"Nocardiopsis","tropica",""
3,"Cupriavidus","gilardii",""
3,"Clostridium","sordellii",""
2,"Lactococcus","lactis","hordniae"
1,"Salinibacterium","amurskyense",""
1,"Halorubrum","terrestre",""
3,"Proteus","penneri",""
2,"Facklamia","sourekii",""
1,"Streptococcus","ovis",""
1,"Sphingomonas","soli",""
1,"Bacillus","aminovorans",""
1,"Vagococcus","salmoninarum",""
15,"Bacillus","megaterium",""
1,"Pseudoalteromonas","antarctica",""
1,"Streptomyces","lilacinus",""
1,"Staphylococcus","felis",""
11,"Rhodococcus","rhodochrous",""
1,"Borreliella","burgdorferi",""
1,"Bartonella","dromedarii",""
1,"Mycoplasmopsis","adleri",""
1,"Flavobacterium","frigoris",""
1,"Sphingopyxis","taejonensis",""
1,"Agromyces","albus",""
1,"Mycobacterium","ratisbonense",""
1,"Bifidobacterium","animalis",""
3,"Klebsiella","grimontii",""
1,"Sphingomonas","adhaesiva",""
1,"Agrococcus","casei",""
1,"Micromonospora","echinaurantiaca",""
2,"Deinococcus","ficus",""
1,"Peptoniphilus","asaccharolyticus",""
1,"Microbacterium","halophilum",""
1,"Pseudomonas","anguilliseptica",""
1,"Mesorhizobium","tianshanense",""
2,"Burkholderia","glumae",""
1,"Dysgonomonas","mossii",""
2,"Aeromonas","simiae",""
1,"Pandoraea","thiooxydans",""
1,"Arcobacter","cloacae",""
2,"Streptomyces","albogriseolus",""
2,"Kocuria","varians",""
2,"Acinetobacter","gyllenbergii",""
7,"Citrobacter","braakii",""
1,"Catenibacterium","mitsuokai",""
1,"Staphylococcus","delphini",""
1,"Chitinophaga","japonensis",""
1,"Arenimonas","malthae",""
1,"Jannaschia","donghaensis",""
1,"Mycolicibacter","nonchromogenicus",""
1,"Pedobacter","steynii",""
1,"Neptuniibacter","caesariensis",""
1,"Deinococcus","deserti",""
1,"Vagococcus","elongatus",""
1,"Schaalia","canis",""
1,"Lentibacillus","kapialis",""
11,"Cupriavidus","pauculus",""
1,"Pseudoalteromonas","distincta","pb"
2,"Capnocytophaga","canimorsus",""
2,"Paenibacillus","dendritiformis",""
132,"Staphylococcus","aureus","aureus"
1,"Pseudomonas","frederiksbergensis",""
7,"Staphylococcus","hominis","hominis"
1,"Echinicola","vietnamensis",""
1,"Oceanobacillus","iheyensis",""
13,"Mycobacterium","intracellulare",""
1,"Rhodoglobus","aureus",""
1,"Bacillus","albus",""
1,"Oceanobacillus","oncorhynchi","incaldanensis"
1,"Xenorhabdus","stockiae",""
1,"Legionella","jamestowniensis",""
1,"Brevibacterium","celere",""
2,"Marivirga","tractuosa",""
10,"Limosilactobacillus","reuteri",""
1,"Leptospira","hartskeerlii",""
3,"Microcella","putealis",""
1,"Yersinia","ruckeri",""
2,"Marinilabilia","salmonicolor",""
1,"Lacticaseibacillus","songhuajiangensis",""
1,"Marinobacter","lipolyticus",""
1,"Paenibacillus","cellulosilyticus",""
1,"Giesbergeria","voronezhensis",""
1,"Halomonas","elongata",""
1,"Algoriphagus","chordae",""
1,"Loktanella","fryxellensis",""
1,"Subtercola","frigoramans",""
1,"Lactobacillus","sakei","carnosus"
12,"Acinetobacter","nosocomialis",""
1,"Acinetobacter","gerneri",""
2,"Pseudomonas","lundensis",""
5,"Gluconobacter","oxydans",""
1,"Limosilactobacillus","fermentum",""
1,"Sphingomonas","koreensis",""
1,"Nocardia","niwae",""
1,"Vibrio","shilonii",""
2,"Komagataeibacter","xylinus",""
1,"Thorsellia","kenyensis",""
1,"Rhizobium","galegae",""
2,"Pseudomonas","oleovorans",""
51,"Corynebacterium","glucuronolyticum",""
1,"Psychrobacter","okhotskensis",""
1,"Pseudomonas","costantinii",""
1,"Virgibacillus","salexigens",""
2,"Campylobacter","upsaliensis",""
1,"Carnobacterium","pleistocenium",""
1,"Nocardiopsis","gilva",""
1,"Paenibacillus","xinjiangensis",""
1,"Rahnella","victoriana",""
1,"Staphylococcus","auricularis",""
1,"Halomonas","halmophila",""
1,"Deinococcus","murrayi",""
1,"Streptomyces","hygroscopicus","crystallogenes"
10,"Serratia","nevei",""
1,"Azotobacter","chroococcum",""
1,"Exiguobacterium","sibiricum",""
1,"Bacillus","cohnii",""
1,"Oceanospirillum","linum",""
1,"Nonomuraea","bangladeshensis",""
2,"Pseudomonas","cuatrocienegasensis",""
1,"Sandarakinorhabdus","limnophila",""
1,"Streptococcus","penaeicida",""
1,"Arenibacter","troitsensis",""
1,"Cosenzaea","myxofaciens",""
1,"Bartonella","birtlesii",""
8,"Staphylococcus","warneri",""
1,"Chryseobacterium","hagamense",""
19,"Corynebacterium","striatum",""
1,"Flavobacterium","hercynium",""
1,"Demetria","terragena",""
2,"Burkholderia","plantarii",""
4,"Providencia","stuartii",""
1,"Actinobacillus","equuli","haemolyticus"
23,"Lactobacillus","plantarum",""
1,"Thorsellia","anophelis",""
1,"Actinomyces","odonlyticus",""
2,"Paenibacillus","lactis",""
1,"Leptospira","brenneri",""
1,"Ligilactobacillus","hayakitensis",""
1,"Halomonas","avicenniae",""
4,"Kluyvera","cryocrescens",""
1,"Corynebacterium","halotolerans",""
1,"Actinoalloteichus","cyanogriseus",""
1,"Nocardia","araoensis",""
2,"Acinetobacter","bereziniae",""
1,"Helicobacter","acinonychis",""
1,"Arthrobacter","pigmenti",""
1,"Plantibacter","flavus",""
1,"Ornithinicoccus","hortensis",""
1,"Roseobacter","denitrificans",""
1,"Cystobacter","violaceus",""
1,"Jannaschia","seosinensis",""
1,"Geobacillus","kaustophilus",""
1,"Nocardia","globerula",""
1,"Vibrio","ruber",""
1,"Kocuria","polaris",""
1,"Psychroflexus","torquis",""
1,"Nocardioides","furvisabuli",""
1,"Corynebacterium","frankenforstense",""
1,"Pseudoxanthomonas","taiwanensis",""
1,"Pusillimonas","noertemannii",""
1,"Rubrobacter","radiotolerans",""
1,"Inhella","inkyongensis",""
1,"Erythromicrobium","ramosum",""
1,"Corynebacterium","tuscaniae",""
1,"Aquimarina","latercula",""
1,"Rhodanobacter","spathiphylli",""
1,"Eubacterium","nodatum",""
1,"Nocardia","puris",""
3,"Cronobacter","sakazakii",""
1,"Paucilactobacillus","oligofermentans",""
2,"Trueperella","bernardiae",""
1,"Nocardia","aobensis",""
2,"Alcanivorax","venustensis",""
1,"Janibacter","anophelis",""
1,"Achromobacter","spiritinus",""
1,"Agromyces","aurantiacus",""
1,"Deinococcus","aerolatus",""
1,"Cohnella","hongkongensis",""
1,"Microbacterium","marinilacus",""
1,"Rhodococcus","gordoniae",""
1,"Rhodococcus","kyotonensis",""
1,"Acinetobacter","celticus",""
2,"Kluyvera","ascorbata",""
1,"Halomonas","salina",""
4,"Listeria","grayi",""
2,"Bosea","eneae",""
1,"Cellulomonas","cellasea",""
1,"Rhodobium","gokarnense",""
1,"Paenibacillus","naphthalenovorans",""
2,"Bacillus","mobilis",""
8,"Cardiobacterium","hominis",""
1,"Streptomyces","stramineus",""
1,"Helicobacter","salomonis",""
1,"Bacillus","fortis",""
1,"Mycolicibacterium","phocaicum",""
1,"Cohnella","rhizosphaerae",""
1,"Limosilactobacillus","gastricus",""
1,"Megamonas","rupellensis",""
1,"Flavobacterium","cheniae",""
1,"Cupriavidus","respiraculi",""
1,"Actinomyces","lingnae",""
1,"Sporolactobacillus","inulinus",""
3,"Pseudomonas","plecoglossicida",""
1,"Nocardia","niigatensis",""
1,"Ureibacillus","suwonensis",""
1,"Streptomyces","hygroscopicus","glebosus"
2,"Nocardia","inohanensis",""
1,"Acholeplasma","vituli",""
1,"Desulfovibrio","hydrothermalis",""
1,"Dickeya","dadantii","dadantii"
1,"Pasteurella","mairii",""
1,"Filibacter","tadaridae",""
2,"Pseudomonas","nitroreducens",""
1,"Tatumella","ptyseos",""
1,"Prevotella","bivia",""
1,"Vibrio","breoganii",""
4,"Janthinobacterium","lividum",""
2,"Lautropia","mirabilis",""
1,"Leucobacter","alluvii",""
1,"Marinobacterium","mangrovicola",""
1,"Mogibacterium","vescum",""
1,"Microbacterium","hominis",""
1,"Streptomyces","cattleya",""
1,"Shewanella","woodyi",""
1,"Amycolatopsis","eurytherma",""
1,"Flavobacterium","gelidilacus",""
1,"Acinetobacter","rudis",""
1,"Leptospira","fainei",""
3,"Ensifer","garamanticus",""
1,"Sediminitomix","flava",""
1,"Sphingomonas","xinjiangensis",""
3,"Staphylococcus","capitis","ureolyticus"
2,"Oceanospirillum","beijerinckii",""
1,"Pseudomonas","kilonensis",""
2,"Pseudoalteromonas","translucida",""
2,"Stenotrophomonas","acidaminiphila",""
1,"Algoriphagus","yeomjeoni",""
1,"Yersinia","artesiana",""
4,"Lactobacillus","zeae",""
4,"Salmonella","enterica","salamae"
1,"Lentibacillus","halodurans",""
1,"Komagataeibacter","sucrofermentans",""
1,"Paraburkholderia","caledonica",""
1,"Agromyces","allii",""
1,"Agrococcus","jenensis",""
1,"Paracoccus","shoinia",""
1,"Winogradskyella","pocilloporae",""
1,"Sinorhizobium","americanum",""
1,"Sphingobium","chlorophenolicum",""
1,"Oleibacter","marinus",""
4,"Limosilactobacillus","vaginalis",""
1,"Marinomonas","mediterranea",""
2,"Acinetobacter","vivianii",""
1,"Corynebacterium","marinum",""
34,"Shigella","flexneri",""
1,"Lechevalieria","flava",""
2,"Moraxella","lwoffii",""
1,"Desulfovibrio","vulgaris","vulgaris"
1,"Acinetobacter","proteolyticus",""
1,"Psychrobacter","jeotgali",""
1,"Tatumella","citrea",""
1,"Bordetella","bronchialis",""
7,"Moraxella","catarrhalis",""
1,"Aquaspirillum","arcticum",""
1,"Aneurinibacillus","migulanus",""
1,"Chryseobacterium","contaminans",""
4,"Acinetobacter","schindleri",""
1,"Flavobacterium","gossypii",""
1,"Kitasatospora","niigatensis",""
1,"Tsukamurella","pulmonis",""
1,"Haemophilus","haemoglobinophilus",""
1,"Agromyces","fucosus",""
4,"Lactobacillus","plantarum","plantarum"
1,"Labrys","okinawensis",""
1,"Curvibacter","delicatus",""
1,"Microbacterium","paraoxydans",""
4,"Rhodococcus","coprophilus",""
1,"Paraphotobacterium","marinum",""
1,"Clostridium","isatidis",""
1,"Halobacillus","dabanensis",""
1,"Hymenobacter","perfusus",""
1,"Novosphingopyxis","baekryungensis",""
1,"Avibacterium","paragallinarum",""
3,"Citrobacter","rodentium",""
4,"Staphylococcus","hominis","novobiosepticus"
1,"Paraburkholderia","phenoliruptrix",""
1,"Paenibacillus","salicis",""
1,"Pseudoduganella","violaceinigra",""
1,"Paenibacillus","elgii",""
1,"Arcanobacterium","pluranimalium",""
1,"Marinobacter","flavimaris",""
1,"Anaerococcus","lactolyticus",""
1,"Paenibacillus","endophyticus",""
1,"Lactobacillus","kitasatonis",""
1,"Bartonella","bovis",""
1,"Schaalia","radingae",""
1,"Paenibacillus","daejeonensis",""
1,"Paenibacillus","purispatii",""
2,"Mycolicibacterium","cosmeticum",""
3,"Pseudoglutamicibacter","cumminsii",""
1,"Paenibacillus","glucanolyticus",""
1,"Vibrio","atlanticus",""
1,"Lentibacillus","halophilus",""
1,"Nocardioides","plantarum",""
2,"Proteus","hauseri",""
3,"Staphylococcus","equorum",""
1,"Vibrio","coralliilyticus",""
1,"Nocardioides","aquiterrae",""
1,"Pectobacterium","odoriferum",""
1,"Flavobacterium","branchiophilum",""
1,"Shewanella","marina",""
1,"Bacillus","ruris",""
1,"Kribbella","aluminosa",""
1,"Borreliella","spielmanii",""
3,"Nocardia","asteroides",""
2,"Neisseria","shayeganii",""
1,"Alkalihalobacillus","alcalophilus",""
1,"Streptomyces","beijiangensis",""
1,"Bacillus","halotolerans",""
1,"Rahnella","variigena",""
1,"Loktanella","atrilutea",""
2,"Pseudomonas","mosselii",""
1,"Flavobacterium","glycines",""
1,"Actinomyces","weissii",""
1,"Nocardia","fluminea",""
1,"Marinococcus","halophilus",""
1,"Photorhabdus","namnaonensis",""
6,"Paraclostridium","bifermentans",""
1,"Aureispira","maritima",""
1,"Chryseobacterium","vrystaatense",""
2,"Fastidiosipila","sanguinis",""
1,"Listeria","newyorkensis",""
1,"Pseudoalteromonas","citrea",""
29,"Clostridium","perfringens","unknown"
1,"Stenotrophomonas","koreensis",""
1,"Streptomyces","mashuensis",""
1,"Devosia","epidermidihirudinis",""
1,"Microbulbifer","maritimus",""
2,"Dellaglioa","algida",""
2,"Lactococcus","garvieae",""
1,"Virgibacillus","marismortui",""
1,"Hydrogenophaga","defluvii",""
1,"Serratia","symbiotica",""
1,"Nonomuraea","pusilla",""
1,"Leptospira","barantonii",""
1,"Herbaspirillum","rubrisubalbicans",""
1,"Vibrio","ponticus",""
20,"Neisseria","gonorrhoeae",""
1,"Corynebacterium","phocae",""
6,"Pseudomonas","oryzihabitans",""
1,"Idiomarina","ramblicola",""
4,"Enterobacter","cancerogenus",""
1,"Lacticaseibacillus","pantheris",""
1,"Winogradskyella","arenosi",""
2,"Labrys","miyagiensis",""
1,"Subsaximicrobium","wynnwilliamsii",""
1,"Treponema","maltophilum",""
1,"Maribacter","ulvicola",""
1,"Thauera","chlorobenzoica",""
1,"Borrelia","lusitaniae",""
1,"Mycolicibacterium","moriokaense",""
2,"Microbacterium","liquefaciens",""
1,"Fulvimarina","pelagi",""
1,"Vibrio","tapetis","tapetis"
1,"Franconibacter","pulveris",""
3,"Roseomonas","genomospecies",""
1,"Tsukamurella","paurometabola",""
1,"Capnocytophaga","gingivalis",""
1,"Pseudomonas","panacis",""
1,"Brevibacterium","mcbrellneri",""
17,"Klebsiella","oxytoca",""
2,"Citrobacter","gillenii",""
1,"Pseudoalteromonas","undina",""
1,"Caballeronia","glathei",""
6,"Corynebacterium","coyleae",""
1,"Streptomyces","angustmyceticus",""
1,"Ureibacillus","thermosphaericus",""
1,"Fructobacillus","durionis",""
2,"Microbacterium","esteraromaticum",""
1,"Flavobacterium","panici",""
3,"Terribacillus","saccharophilus",""
1,"Nocardia","higoensis",""
1,"Mycolicibacterium","insubricum",""
1,"Mycolicibacterium","chitae",""
1,"Hymenobacter","chitinivorans",""
1,"Polaribacter","filamentus",""
1,"Actinomadura","pelletieri",""
1,"Micromonospora","citrea",""
1,"Selenomonas","noxia-like",""
1,"Bartonella","vinsonii","arupensis"
1,"Bacillus","caldovelox",""
1,"Halobacillus","salinus",""
1,"Gordonia","cholesterolivorans",""
1,"Flavobacterium","glaciei",""
1,"Arthrobacter","castelli",""
1,"Azospirillum","oryzae",""
1,"Nonomuraea","polychroma",""
1,"Streptomyces","griseocarneus",""
3,"Staphylococcus","sciuri","carnaticus"
1,"Colwellia","maris",""
1,"Ensifer","medicae",""
1,"Rhodococcus","yunnanensis",""
1,"Moheibacter","stercoris",""
1,"Sporosarcina","aquimarina",""
1,"Massilia","lutea",""
1,"Aquabacterium","commune",""
1,"Trueperella","abortisuis",""
6,"Bacillus","subtilis","spizizenii"
1,"Pseudomonas","xinjiangensis",""
1,"Trinickia","soli",""
1,"Planomicrobium","psychrophilum",""
1,"Vibrio","fortis",""
2,"Janibacter","limosus",""
1,"Streptococcus","equi","ruminatorum"
1,"Treponema","agilis",""
1,"Pseudomonas","chlororaphis","aurantiaca"
1,"Photorhabdus","temperata",""
1,"Stenotrophomonas","nitritireducens",""
1,"Polaribacter","glomeratus",""
1,"Oerskovia","turbata",""
15,"Rhodococcus","hoagii",""
1,"Galbibacter","mesophilus",""
1,"Staphylococcus","nepalensis",""
1,"Photorhabdus","akhurstii",""
1,"Catellatospora","citrea","citrea"
1,"Mycobacterium","bourgelatii",""
4,"Gordonia","sputi",""
2,"Pseudomonas","chlororaphis",""
2,"Propionibacterium","freudenreichii","freudenreichii"
1,"Vagococcus","lutrae",""
1,"Erwinia","tracheiphila",""
2,"Truepera","radiovictrix",""
4,"Brevibacillus","brevis",""
2,"Granulicatella","elegans",""
17,"Arcanobacterium","pyogenes",""
1,"Brevibacterium","iodinum",""
1,"Nocardia","pneumoniae",""
1,"Algibacter","mikhailovii",""
1,"Flavobacterium","antarcticum",""
1,"Sphingomonas","wittichii",""
1,"Cellulomonas","iranensis",""
1,"Pontibacillus","halophilus",""
1,"Falsigemmobacter","intermedius",""
1,"Brevibacillus","thermoruber",""
1,"Fructobacillus","ficulneus",""
1,"Streptomyces","hebeiensis",""
1,"Tissierella","creatinini",""
1,"Microbacterium","oleivorans",""
1,"Pseudomonas","umsongensis",""
1,"Planomicrobium","okeanokoites",""
1,"Carnobacterium","mobile",""
1,"Ligilactobacillus","equi",""
1,"Marinobacter","algicola",""
5,"Kocuria","rosea",""
1,"Cutibacterium","modestum",""
1,"Phaeobacter","gallaeciensis",""
1,"Mesorhizobium","huakuii",""
1,"Schaalia","turicensis",""
1,"Lactiplantibacillus","paraplantarum",""
1,"Chromohalobacter","canadensis",""
1,"Moritella","profunda",""
1,"Nocardia","brevicatena",""
1,"Bacillus","viscosus",""
1,"Halalkalibacillus","halophilus",""
1,"Acidiphilium","acidophilum",""
1,"Lacticaseibacillus","casei",""
1,"Nakamurella","multipartita",""
1,"Massilia","albidiflava",""
1,"Herbaspirillum","huttiense",""
1,"Halorubrum","coriense",""
1,"Bacillus","tequilensis",""
1,"Cellulomonas","persica",""
1,"Pseudonocardia","zijingensis",""
1,"Sphingomonas","ginsenosidimutans",""
1,"Paenibacillus","kribbensis",""
1,"Marmoricola","aequoreus",""
3,"Staphylococcus","aureus","anaerobius"
1,"Pseudomonas","moorei",""
1,"Flavobacterium","frigidimaris",""
1,"Bacillus","acidiceler",""
1,"Veillonella","parvula","parvula"
1,"Stigmatella","hybrida",""
1,"Pseudomonas","mohnii",""
1,"Chryseobacterium","caeni",""
1,"Arcobacter","aquimarinus",""
3,"Fannyhessea","vaginae",""
1,"Mycoplasma","marinum",""
1,"Salmonella","subterranea",""
1,"Caballeronia","hypogeia",""
1,"Sphingopyxis","macrogoltabida",""
1,"Psychrobacter","proteolyticus",""
1,"Rhizobium","larrymoorei",""
1,"Pigmentiphaga","kullae",""
1,"Psychrobacter","cibarius",""
2,"Cupriavidus","alkaliphilus",""
1,"Pseudoxanthomonas","mexicana",""
3,"Helicobacter","hepaticus",""
1,"Microbacterium","sediminicola",""
1,"Alkalihalobacillus","patagoniensis",""
1,"Legionella","gresilensis",""
1,"Cellulomonas","terrae",""
3,"Secundilactobacillus","malefermentans",""
1,"Nocardioides","pyridinolyticus",""
1,"Rubellimicrobium","thermophilum",""
1,"Yersinia","hibernica",""
1,"Aquincola","tertiaricarbonis",""
3,"Corynebacterium","freneyi",""
1,"Pseudomonas","azelaica",""
1,"Erythrobacter","flavus",""
1,"Sinorhizobium","chiapanecum",""
1,"Streptococcus","devriesei",""
9,"Streptococcus","dysgalactiae","equisimilis"
1,"Lactobacillus","equicursoris",""
1,"Ligilactobacillus","pobuzihii",""
1,"Bacteroides","vulgatus",""
1,"Sporosarcina","globispora",""
1,"Arenibacter","certesii",""
1,"Sphingosinicella","xenopeptidilytica",""
1,"Arcobacter","skirrowii",""
1,"Pseudomonas","otitidis",""
1,"Paenibacillus","campinasensis",""
1,"Buttiauxella","izardii",""
1,"Rheinheimera","pacifica",""
1,"Lysobacter","niabensis",""
1,"Streptomyces","sodiiphilus",""
1,"Collinsella","stercoris",""
1,"Pseudomonas","chlororaphis","chlororaphis"
1,"Hellea","balneolensis",""
1,"Paraglaciecola","mesophila",""
1,"Gillisia","limnaea",""
39,"Streptococcus","agalactiae",""
1,"Pseudaminobacter","defluvii",""
3,"Staphylococcus","saprophyticus","saprophyticus"
7,"Leuconostoc","pseudomesenteroides",""
1,"Flavobacterium","ginsenosidimutans",""
81,"Haemophilus","influenzae",""
3,"Nocardia","pseudosporangifera",""
4,"Leptospira","alexanderi",""
1,"Lacticaseibacillus","paracasei","paracasei"
1,"Paracoccus","marinus",""
2,"Luteococcus","japonicus",""
1,"Pseudomonas","psychrotolerans",""
1,"Yersinia","proxima",""
1,"Aneurinibacillus","terranovensis",""
1,"Xenorhabdus","thuongxuanensis",""
1,"Leptospira","ognonensis",""
8,"Proteus","vulgaris",""
1,"Salegentibacter","holothuriorum",""
