CIP 64.52;WDCM
CIP 66.25T;WDCM
CIP 52.62;WDCM
CIP 110282;WDCM
CIP 111052;WDCM
CIP 103547;WDCM
CIP 103409T;WDCM
CIP 79.3;WDCM
CIP 103015T;WDCM
CIP 103014T;WDCM
CIP 58.55;WDCM
CIP 53.126;WDCM
CIP 76.24;WDCM
CIP 110281;WDCM
CIP 103139T;WDCM
CIP 70.56T;WDCM
CIP 80.11T;WDCM
CIP 78.42T;WDCM
CIP 110274;WDCM
CIP 59.53;WDCM
CIP 102264T;WDCM
CIP 103181T;WDCM
CIP 100720T;WDCM
CIP 76.110;WDCM
CIP 82.118;WDCM
CIP A22;WDCM
CIP 54.72;WDCM
CIP 110658;WDCM
CIP 82.97;WDCM
CIP 104115;WDCM
CIP 4.83;WDCM
CIP 53.156;WDCM
CIP 76.25;WDCM
CIP 53.154;WDCM
CIP 68.21;WDCM
CIP 75.2T;WDCM
CIP 80.27T;WDCM
CIP 81.41;WDCM
CIP 54.145T;WDCM
CIP 54.145T;WDCM
CIP 110812T;WDCM
CIP 76.16T;WDCM
CIP 76.14T;WDCM
CIP 111240;WDCM
CIP 104014T;WDCM
CIP 103588T;WDCM
CIP 52.71T;WDCM
CIP 105453;WDCM
CIP 110271;WDCM
CIP 103251T;WDCM
CIP 70.80T;WDCM
CIP 107370;WDCM
CIP 111243;WDCM
CIP 101029T;WDCM
CIP 110052;WDCM
CIP 110053;WDCM
CIP 110068;WDCM
CIP 110283;WDCM
CIP 60.85T;WDCM
CIP 110277;WDCM
CIP 104676;WDCM
CIP 103214;WDCM
CIP 110050;WDCM
CIP 53.48T;WDCM
CIP 54.8T;WDCM
CIP 110272;WDCM
CIP 105180;WDCM
CIP 105181;WDCM
CIP 57.31T;WDCM
CIP 110043;WDCM
CIP 82.91T;WDCM
CIP 76.13T;WDCM
CIP 102806T;WDCM
CIP 103137T;WDCM
CIP A157T;WDCM
CIP 101027T;WDCM
CIP 103699;WDCM
CIP 103151T;WDCM
CIP 102810T;WDCM
CIP 103870T;WDCM
CIP 103854T;WDCM
CIP 110051T;WDCM
CIP 104794;WDCM
CIP 60.88;WDCM
CIP A270T;WDCM
CIP A231T;WDCM
CIP 66.5T;WDCM
CIP 103837;WDCM
CIP 69.13T;WDCM
CIP 55.4T;WDCM
CIP 52.191T;WDCM
